fecha,semana_iso,corpus,diario,provincia,region,ciudad_origen,url_medio,titular,palabras_encontradas,cantidad_palabras
2026-06-21,2026-W25,provincial,LA VOZ DEL INTERIOR,Córdoba,Centro,Córdoba,https://www.lavoz.com.ar,Diversidad. Córdoba tendrá dos marchas del orgullo este año: convocan a una movilización contra los crímenes de odio,movilización,1
2026-06-21,2026-W25,provincial,EL DIARIO,Córdoba,Centro,Villa Carlos Paz,https://www.eldiariodecarlospaz.com.ar,“Hay otra persona más”: el fuerte reclamo de los abuelos de Agostina Vega,reclamo,1
2026-06-21,2026-W25,provincial,EL DIARIO DEL CENTRO DEL PAÍS,Córdoba,Centro,Villa María,https://www.eldiariocba.com.ar,Paro en tres centros médicos,paro,1
2026-06-21,2026-W25,provincial,EL ZONDA,San Juan,Cuyo,San Juan,https://www.diarioelzondasj.com.ar,Movilización peronista. Cristina Kirchner saludó desde su balcón a la militancia llegada tras la marcha en Parque Lezama,"movilización, marcha",2
2026-06-21,2026-W25,provincial,NUEVO DIARIO,Salta,NOA,Salta,https://www.nuevodiariodesalta.com.ar,Ordenaron monitorear la marcha del miércoles en el marco del protocolo antipiquetes,marcha,1
2026-06-21,2026-W25,provincial,NORTE,Chaco,NEA,Resistencia,https://www.diarionorte.com,En Resistencia. Familias chaqueñas que buscan justicia convocan a una marcha este domingo,marcha,1
2026-06-21,2026-W25,provincial,NORTE,Chaco,NEA,Resistencia,https://www.diarionorte.com,"Marcha por Axel López, a casi un mes de su desaparición",marcha,1
2026-06-21,2026-W25,provincial,ÉPOCA,Corrientes,NEA,Corrientes,https://www.diarioepoca.com,Diógenes reclamó una definición presidencial por el caso Adorni,reclamo,1
2026-06-21,2026-W25,provincial,CRÓNICA,Chubut,Patagonia,Comodoro Rivadavia,https://www.diariocronica.com.ar,La protesta salarial llegó a las comisarías: policías se acuartelan en Puerto Deseado,protesta,1
2026-06-21,2026-W25,provincial,EL DIARIO DE LA PAMPA,La Pampa,Patagonia,Santa Rosa,https://www.eldiariodelapampa.com.ar,Pullaro reclamó que los recursos nacionales vuelvan en infraestructura,reclamo,1
2026-06-21,2026-W25,provincial,LA OPINIÓN AUSTRAL,Santa Cruz,Patagonia,Santa Cruz,https://www.laopinionaustral.com.ar,“Voy a luchar para que no quede impune”: fuerte reclamo de la familia de “huesito” Carabajal a cuatro años del hecho,reclamo,1
2026-06-21,2026-W25,provincial,NUEVO DÍA,Santa Cruz,Patagonia,Santa Cruz,https://www.eldiarionuevodia.com.ar,"Por el reclamo policial, un hospital de Santa Cruz limita guardias y ambulancias",reclamo,1
2026-06-21,2026-W25,provincial,TIEMPO SUR,Santa Cruz,Patagonia,Santa Cruz,https://www.tiemposur.com.ar,Reclamo salarial Policías autoconvocados de El Calafate convocan a un bocinazo,reclamo,1
2026-06-21,2026-W25,provincial,EL SUREÑO,Tierra del Fuego,Patagonia,Río Grande,https://www.surenio.com.ar,Paro docente el jueves: SUTEF se suma a la medida de fuerza nacional,paro,1
2026-06-21,2026-W25,provincial,RED 23 NOTICIAS,Tierra del Fuego,Patagonia,Río Grande,https://www.red23noticias.com.ar,El reclamo por el GLP escala: presentan proyecto propio ante la falta de respuestas,reclamo,1
2026-06-21,2026-W25,nacional,PÁGINA 12,Nacional,Nacional,Nacional,https://www.pagina12.com.ar,La última marcha de Taty Almeida: su despedida en la Plaza de Mayo,marcha,1
2026-06-21,2026-W25,nacional,TIEMPO ARGENTINO,Nacional,Nacional,Nacional,https://www.tiempoar.com.ar,El reclamo por Cristina se suma al clima electoral que vive el peronismo,reclamo,1
2026-06-21,2026-W25,nacional,LA PRENSA,Nacional,Nacional,Nacional,https://www.laprensa.com.ar,Desde el PRO redoblan la presión con el reclamo de renuncia de Adorni,reclamo,1
